Country,more_info,date_of_release,travel_advisory,risk_rating,text
Papua New Guinea,http://smartraveller.gov.au/Countries/pacific/Pages/papua_new_guinea.aspx,2017-08-23 05:01:33,True,warning,Tari in Hela Province
Paraguay,http://smartraveller.gov.au/Countries/americas/south/Pages/paraguay.aspx,2017-06-23 01:33:38,True,caution,Paraguay overall
Peru,http://smartraveller.gov.au/Countries/americas/south/Pages/peru.aspx,2017-08-24 06:20:37,True,caution,Peru overall
Peru,http://smartraveller.gov.au/Countries/americas/south/Pages/peru.aspx,2017-08-24 06:20:37,True,warning,"Areas bordering Ecuador in the regions of Loreto, Amazonas and Cajamarca"
Peru,http://smartraveller.gov.au/Countries/americas/south/Pages/peru.aspx,2017-08-24 06:20:37,True,danger,Areas bordering Colombia 
Philippines,http://smartraveller.gov.au/Countries/asia/south-east/Pages/philippines.aspx,2017-07-24 10:29:59,True,caution,Philippines overall
Philippines,http://smartraveller.gov.au/Countries/asia/south-east/Pages/philippines.aspx,2017-07-24 10:29:59,True,warning,Eastern Mindanao 
Philippines,http://smartraveller.gov.au/Countries/asia/south-east/Pages/philippines.aspx,2017-07-24 10:29:59,True,danger,"Central and western Mindanao, including the Zamboanga Peninsula, and the Sulu Archipelago and southern Sulu Sea area"
Poland,http://smartraveller.gov.au/Countries/europe/eastern/Pages/poland.aspx,2017-07-25 01:23:26,True,normal,Poland overall
Portugal,http://smartraveller.gov.au/Countries/europe/southern/Pages/portugal.aspx,2017-08-24 22:50:33,True,normal,Portugal overall
Puerto Rico,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/puerto_rico.aspx,2016-01-25 09:07:00,null,null,null
Qatar,http://smartraveller.gov.au/Countries/middle-east/Pages/qatar.aspx,2017-08-22 01:26:21,True,normal,Qatar overall
Republic of Korea,http://smartraveller.gov.au/Countries/asia/north/Pages/south_korea.aspx,2017-09-06 00:15:11,True,normal,Republic of Korea overall
Reunion,http://smartraveller.gov.au/Countries/africa/east/Pages/reunion.aspx,2015-06-12 04:19:00,null,null,null
Romania,http://smartraveller.gov.au/Countries/europe/eastern/Pages/romania.aspx,2017-06-08 01:14:07,True,normal,Romania overall
Russia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/russia.aspx,2017-09-14 02:19:26,True,caution,Russia overall
Russia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/russia.aspx,2017-09-14 02:19:26,True,warning,"Regions bordering the Ukrainian provinces of Donetsk, Lugansk and Kharkiv "
Russia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/russia.aspx,2017-09-14 02:19:26,True,danger,North Caucasus
Rwanda,http://smartraveller.gov.au/Countries/africa/east/Pages/rwanda.aspx,2017-08-07 06:20:52,True,caution,Rwanda overall
Rwanda,http://smartraveller.gov.au/Countries/africa/east/Pages/rwanda.aspx,2017-08-07 06:20:52,True,warning,Within 10 kilometres of the border with Burundi
Rwanda,http://smartraveller.gov.au/Countries/africa/east/Pages/rwanda.aspx,2017-08-07 06:20:52,True,warning,"Within 10 kilometres of the border the Democratic Republic of the Congo, including towns of Gisenyi, Kibuye and Cyangugu"
Saint Kitts and Nevis,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/saint_kitts_and_nevis.aspx,2015-09-07 00:51:00,null,null,null
Saint Lucia,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/saint_lucia.aspx,2015-09-07 00:59:00,null,null,null
Saint Vincent and the Grenadines,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/saint_vincent_and_the_grenadines.aspx,2015-11-09 04:44:00,null,null,null
Samoa,http://smartraveller.gov.au/Countries/pacific/Pages/samoa.aspx,2017-08-20 23:29:33,True,normal,Samoa overall
San Marino,http://smartraveller.gov.au/Countries/europe/southern/Pages/san_marino.aspx,2017-05-23 04:29:29,null,null,null
Sao Tome and Principe,http://smartraveller.gov.au/Countries/africa/central/Pages/sao_tome_and_principe.aspx,2015-07-02 04:20:00,null,null,null
Saudi Arabia,http://smartraveller.gov.au/Countries/middle-east/Pages/saudi_arabia.aspx,2017-09-26 02:58:51,True,warning,Saudi Arabia overall
Saudi Arabia,http://smartraveller.gov.au/Countries/middle-east/Pages/saudi_arabia.aspx,2017-09-26 02:58:51,True,danger,Areas within 30 kilometres of the border with Yemen
Senegal,http://smartraveller.gov.au/Countries/africa/west/Pages/senegal.aspx,2017-05-10 00:55:12,True,caution,Senegal overall
Senegal,http://smartraveller.gov.au/Countries/africa/west/Pages/senegal.aspx,2017-05-10 00:55:12,True,warning,"Casamance region of southern Senegal, except Cap Skirring, Ziguinchor and the main road between these cities"
Serbia,http://smartraveller.gov.au/Countries/europe/southern/Pages/serbia.aspx,2017-08-02 22:05:18,True,normal,Serbia overall
Seychelles,http://smartraveller.gov.au/Countries/africa/east/Pages/seychelles.aspx,2017-08-16 05:43:55,True,normal,Seychelles overall
Sierra Leone,http://smartraveller.gov.au/Countries/africa/west/Pages/sierra_leone.aspx,2017-08-16 04:22:24,True,caution,Sierra Leone overall
Singapore,http://smartraveller.gov.au/Countries/asia/south-east/Pages/singapore.aspx,2017-08-03 03:01:39,True,normal,Singapore overall
Slovakia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/slovakia.aspx,2015-06-12 01:25:00,null,null,null
Slovenia,http://smartraveller.gov.au/Countries/europe/southern/Pages/slovenia.aspx,2015-09-19 03:54:00,null,null,null
Solomon Islands,http://smartraveller.gov.au/Countries/pacific/Pages/solomon_islands.aspx,2017-09-18 06:52:43,True,normal,Solomon Islands overall
Somalia,http://smartraveller.gov.au/Countries/africa/east/Pages/somalia.aspx,2017-04-06 01:48:07,True,danger,Somalia overall
South Africa,http://smartraveller.gov.au/Countries/africa/southern/Pages/south_africa.aspx,2017-06-08 09:58:04,True,caution,South Africa overall
South Sudan,http://smartraveller.gov.au/Countries/africa/east/Pages/south_sudan.aspx,2017-06-13 23:04:56,True,danger,South Sudan overall
Spain,http://smartraveller.gov.au/Countries/europe/southern/Pages/spain.aspx,2017-10-02 02:44:07,True,normal,Spain overall
Sri Lanka,http://smartraveller.gov.au/Countries/asia/south/Pages/sri_lanka.aspx,2017-07-21 04:30:33,True,normal,Sri Lanka overall
Sudan,http://smartraveller.gov.au/Countries/africa/north/Pages/sudan.aspx,2017-06-14 04:41:34,True,warning,Sudan overall
Sudan,http://smartraveller.gov.au/Countries/africa/north/Pages/sudan.aspx,2017-06-14 04:41:34,True,danger,"North, South and West Darfur, Abyei region, North and South Kordufan, Blue and White Nile State, Sennar State"
Sudan,http://smartraveller.gov.au/Countries/africa/north/Pages/sudan.aspx,2017-06-14 04:41:34,True,danger,Areas within 15km of the border with Eritrea and Ethiopia
Suriname,http://smartraveller.gov.au/Countries/americas/south/Pages/suriname.aspx,2016-01-25 09:13:00,null,null,null
Swaziland,http://smartraveller.gov.au/Countries/africa/southern/Pages/swaziland.aspx,2017-04-28 05:49:16,True,normal,Swaziland overall
Sweden,http://smartraveller.gov.au/Countries/europe/northern/Pages/sweden.aspx,2017-05-31 03:12:06,True,normal,Sweden overall
Switzerland,http://smartraveller.gov.au/Countries/europe/western/Pages/switzerland.aspx,2017-06-14 23:13:32,True,normal,Switzerland overall
Syria,http://smartraveller.gov.au/Countries/middle-east/Pages/syria.aspx,2016-09-15 06:16:07,True,danger,Syria overall
Taiwan,http://smartraveller.gov.au/Countries/asia/north/Pages/taiwan.aspx,2017-09-12 08:33:57,True,normal,Taiwan overall
Tajikistan,http://smartraveller.gov.au/Countries/asia/central/Pages/tajikistan.aspx,2017-05-29 01:17:46,True,caution,Tajikistan overall
Tajikistan,http://smartraveller.gov.au/Countries/asia/central/Pages/tajikistan.aspx,2017-05-29 01:17:46,True,warning,"Border regions with the Kyrgyz Republic, Uzbekistan and Afghanistan"
Tajikistan,http://smartraveller.gov.au/Countries/asia/central/Pages/tajikistan.aspx,2017-05-29 01:17:46,True,warning,Gorno Badakhshan Autonomous Oblast
Tanzania,http://smartraveller.gov.au/Countries/africa/east/Pages/tanzania.aspx,2017-06-22 03:50:49,True,caution,Tanzania overall
Thailand,http://smartraveller.gov.au/Countries/asia/south-east/Pages/thailand.aspx,2017-09-15 01:11:27,True,caution,Thailand overall
Thailand,http://smartraveller.gov.au/Countries/asia/south-east/Pages/thailand.aspx,2017-09-15 01:11:27,True,danger,"Yala, Pattani, Narathiwat and Songkhla"
The Bahamas,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/bahamas.aspx,2017-09-24 00:44:49,True,caution,The Bahamas overall
The former Yugoslav Republic of Macedonia,http://smartraveller.gov.au/Countries/europe/southern/Pages/former_yugoslav_republic_of_macedonia.aspx,2017-07-10 05:38:17,True,caution,The former Yugoslav Republic of Macedonia overall
The Gambia,http://smartraveller.gov.au/Countries/africa/west/Pages/gambia.aspx,2017-02-10 04:18:29,True,caution,Gambia overall
The Gambia,http://smartraveller.gov.au/Countries/africa/west/Pages/gambia.aspx,2017-02-10 04:18:29,True,warning,Overland travel through the Casamance region in southern Senegal
The Republic of the Congo,http://smartraveller.gov.au/Countries/africa/central/Pages/congo.aspx,2015-06-29 03:03:00,null,null,null
Timor-Leste,http://smartraveller.gov.au/Countries/asia/south-east/Pages/timor_leste.aspx,2017-08-01 02:10:20,True,caution,East Timor overall
Togo,http://smartraveller.gov.au/Countries/africa/west/Pages/togo.aspx,2015-05-19 04:27:00,null,null,null
Tonga,http://smartraveller.gov.au/Countries/pacific/Pages/tonga.aspx,2017-05-09 02:47:07,True,normal,Tonga overall
Trinidad and Tobago,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/trinidad_and_tobago.aspx,2017-08-07 00:25:39,True,caution,Trinidad and Tobago overall
Tunisia,http://smartraveller.gov.au/Countries/africa/north/Pages/tunisia.aspx,2017-09-29 05:23:27,True,warning,Tunisia overall
Tunisia,http://smartraveller.gov.au/Countries/africa/north/Pages/tunisia.aspx,2017-09-29 05:23:27,True,danger,"Southern Tunisia (areas south of and including the towns of Nefta, Douz, Medenine and Zarzis)"
Tunisia,http://smartraveller.gov.au/Countries/africa/north/Pages/tunisia.aspx,2017-09-29 05:23:27,True,danger,Within 30 kms of the border with Algeria
Tunisia,http://smartraveller.gov.au/Countries/africa/north/Pages/tunisia.aspx,2017-09-29 05:23:27,True,danger,Mount Chaambi National Park
