Country,more_info,date_of_release,travel_advisory,risk_rating,text
Cabo Verde,http://smartraveller.gov.au/Countries/africa/west/Pages/cabo_verde.aspx,2016-01-25 08:36:00,null,null,null
Cambodia,http://smartraveller.gov.au/Countries/asia/south-east/Pages/cambodia.aspx,2017-09-21 06:20:16,True,normal,Cambodia overall
Cameroon,http://smartraveller.gov.au/Countries/africa/central/Pages/cameroon.aspx,2017-02-02 05:20:32,True,caution,Cameroon overall
Cameroon,http://smartraveller.gov.au/Countries/africa/central/Pages/cameroon.aspx,2017-02-02 05:20:32,True,warning,North and Adamaoua regions
Cameroon,http://smartraveller.gov.au/Countries/africa/central/Pages/cameroon.aspx,2017-02-02 05:20:32,True,danger,"Far North region and within 40 kms of borders with Central African Republic, Chad and Nigeriau0027s Adamawa state"
Cameroon,http://smartraveller.gov.au/Countries/africa/central/Pages/cameroon.aspx,2017-02-02 05:20:32,True,danger,Within 40 kms of the border with Nigeria in the Bakassi Peninsula region
Canada,http://smartraveller.gov.au/Countries/americas/north/Pages/canada.aspx,2017-09-20 06:07:57,True,normal,Canada overall
Central African Republic,http://smartraveller.gov.au/Countries/africa/central/Pages/central_african_republic.aspx,2017-02-08 00:30:20,True,danger,Central African Republic overall
Chad,http://smartraveller.gov.au/Countries/africa/central/Pages/chad.aspx,2017-07-21 05:58:44,True,danger,Chad overall
Chad,http://smartraveller.gov.au/Countries/africa/central/Pages/chad.aspx,2017-07-21 05:58:44,True,warning,Nu0027Djamena
Chile,http://smartraveller.gov.au/Countries/americas/south/Pages/chile.aspx,2017-09-08 02:37:54,True,normal,Chile overall
China,http://smartraveller.gov.au/Countries/asia/north/Pages/china.aspx,2017-08-31 05:35:36,True,normal,China overall
China,http://smartraveller.gov.au/Countries/asia/north/Pages/china.aspx,2017-08-31 05:35:36,True,caution,Tibet
China,http://smartraveller.gov.au/Countries/asia/north/Pages/china.aspx,2017-08-31 05:35:36,True,caution,Xinjiang
Colombia,http://smartraveller.gov.au/Countries/americas/south/Pages/colombia.aspx,2017-10-02 09:40:33,True,caution,Colombia overall
Colombia,http://smartraveller.gov.au/Countries/americas/south/Pages/colombia.aspx,2017-10-02 09:40:33,True,warning,"The departments of Antioquia (except Medellín), Arauca, Caquetá, Cauca (except Popayan), Chocó (except its capital Quibdó and the whale-watching towns of Nuqui, Bania Solano and Capurganá), Guainía, Guaviare, Meta, (except Villavicencio and the tourist site of Caño Cristales), Nariño (except Pasto and the border crossing of Ipiales), Norte de Santander, Putumayo, Valle de Cauca (except Cali) and Vichada"
Colombia,http://smartraveller.gov.au/Countries/americas/south/Pages/colombia.aspx,2017-10-02 09:40:33,True,danger,"Areas within 20 kms of Venezuela and Ecuador, except the Pan American Highway crossing at Ipiales"
Colombia,http://smartraveller.gov.au/Countries/americas/south/Pages/colombia.aspx,2017-10-02 09:40:33,True,danger,Cities of Buenaventura and Tumaco
Comoros,http://smartraveller.gov.au/Countries/africa/east/Pages/comoros.aspx,2015-08-06 00:40:00,null,null,null
Cook Islands,http://smartraveller.gov.au/Countries/pacific/Pages/cook_islands.aspx,2016-12-14 03:10:08,True,normal,Cook Islands overall
Costa Rica,http://smartraveller.gov.au/Countries/americas/central/Pages/costa_rica.aspx,2017-01-24 05:56:01,True,caution,Costa Rica overall
Côte du0027Ivoire,http://smartraveller.gov.au/Countries/africa/west/Pages/ivory_coast.aspx,2017-08-01 22:45:18,True,caution,Ivory Coast overall
Côte du0027Ivoire,http://smartraveller.gov.au/Countries/africa/west/Pages/ivory_coast.aspx,2017-08-01 22:45:18,True,warning,"Dix-Huit Montagnes, Haut-Sassandra, Moyen-Cavally and Bas-Sassandra"
Croatia,http://smartraveller.gov.au/Countries/europe/southern/Pages/croatia.aspx,2017-08-02 22:52:55,True,normal,Croatia overall
Cuba,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/cuba.aspx,2017-09-27 05:35:44,True,normal,Cuba overall
Cyprus,http://smartraveller.gov.au/Countries/europe/southern/Pages/cyprus.aspx,2017-03-27 23:16:22,True,normal,Cyprus overall
Czech Republic,http://smartraveller.gov.au/Countries/europe/eastern/Pages/czech_republic.aspx,2017-06-08 22:52:30,True,normal,Czech Republic overall
Democratic Peopleu0027s Republic of Korea,http://smartraveller.gov.au/Countries/asia/north/Pages/north_korea.aspx,2017-09-06 00:15:09,True,warning,Democratic Peopleu0027s Republic of Korea overall
Democratic Republic of the Congo,http://smartraveller.gov.au/Countries/africa/central/Pages/democratic_republic_of_the_congo.aspx,2017-08-02 23:10:52,True,warning,Democratic Republic of the Congo overall
Democratic Republic of the Congo,http://smartraveller.gov.au/Countries/africa/central/Pages/democratic_republic_of_the_congo.aspx,2017-08-02 23:10:52,True,danger,"Provinces of Kasai, Kasai Central, Kasai Oriental, Sud-Kivu, Nord-Kivu, Ituri, Maniema, Tanganyika, Bas-Uélé and Haut-Uélé"
Denmark,http://smartraveller.gov.au/Countries/europe/northern/Pages/denmark.aspx,2017-08-22 04:35:11,True,normal,Denmark overall
Djibouti,http://smartraveller.gov.au/Countries/africa/east/Pages/djibouti.aspx,2017-05-17 00:00:43,True,caution,Djibouti overall
Djibouti,http://smartraveller.gov.au/Countries/africa/east/Pages/djibouti.aspx,2017-05-17 00:00:43,True,danger,Within 10 kilometres of the border with Eritrea 
Djibouti,http://smartraveller.gov.au/Countries/africa/east/Pages/djibouti.aspx,2017-05-17 00:00:43,True,danger,Within 5 kilometres of the border with Somalia
Dominica,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/dominica.aspx,2016-05-27 01:22:00,null,null,null
Dominican Republic,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/dominican_republic.aspx,2017-09-27 05:48:13,True,caution,Dominican Republic overall
Ecuador,http://smartraveller.gov.au/Countries/americas/south/Pages/ecuador.aspx,2017-09-09 02:16:30,True,caution,Ecuador overall
Ecuador,http://smartraveller.gov.au/Countries/americas/south/Pages/ecuador.aspx,2017-09-09 02:16:30,True,warning,Sucumbios province
Ecuador,http://smartraveller.gov.au/Countries/americas/south/Pages/ecuador.aspx,2017-09-09 02:16:30,True,danger,"Areas within 20 kilometres of Colombia, except the offical border crossing at Tulcán "
Egypt,http://smartraveller.gov.au/Countries/africa/north/Pages/egypt.aspx,2017-09-04 09:44:39,True,warning,Egypt overall
Egypt,http://smartraveller.gov.au/Countries/africa/north/Pages/egypt.aspx,2017-09-04 09:44:39,True,danger,"Within 50kms of Egyptu0027s border with Libya and Governorate of North Sinai, including the Taba-Suez Road "
El Salvador,http://smartraveller.gov.au/Countries/americas/central/Pages/el_salvador.aspx,2017-09-09 02:14:15,True,caution,El Salvador overall
Equatorial Guinea,http://smartraveller.gov.au/Countries/africa/central/Pages/equatorial_guinea.aspx,2015-07-08 05:30:00,null,null,null
Eritrea,http://smartraveller.gov.au/Countries/africa/east/Pages/eritrea.aspx,2017-07-24 23:43:06,True,warning,Eritrea overall
Eritrea,http://smartraveller.gov.au/Countries/africa/east/Pages/eritrea.aspx,2017-07-24 23:43:06,True,danger,"Regions bordering Ethiopia, Sudan and Djibouti"
Eritrea,http://smartraveller.gov.au/Countries/africa/east/Pages/eritrea.aspx,2017-07-24 23:43:06,True,danger,"Towns of Teseney, Barentu and Assab "
Estonia,http://smartraveller.gov.au/Countries/europe/northern/Pages/estonia.aspx,2017-06-12 22:50:22,True,normal,Estonia overall
Ethiopia,http://smartraveller.gov.au/Countries/africa/east/Pages/ethiopia.aspx,2017-09-29 05:21:27,True,warning,Ethiopia overall
Ethiopia,http://smartraveller.gov.au/Countries/africa/east/Pages/ethiopia.aspx,2017-09-29 05:21:27,True,danger,"Border areas with Sudan and South Sudan, including the Gambella region "
Ethiopia,http://smartraveller.gov.au/Countries/africa/east/Pages/ethiopia.aspx,2017-09-29 05:21:27,True,danger,"Border area with Eritrea, including the Danakil desert area"
Ethiopia,http://smartraveller.gov.au/Countries/africa/east/Pages/ethiopia.aspx,2017-09-29 05:21:27,True,danger,"Border areas with Somalia and Kenya, including the Somali region "
Federated States of Micronesia,http://smartraveller.gov.au/Countries/pacific/Pages/federated_states_of_micronesia.aspx,2017-05-23 00:19:56,True,normal,Micronesia overall
Fiji,http://smartraveller.gov.au/Countries/pacific/Pages/fiji.aspx,2017-08-22 05:01:41,True,normal,Fiji overall
Finland,http://smartraveller.gov.au/Countries/europe/northern/Pages/finland.aspx,2017-08-22 07:08:43,True,normal,Finland overall
France,http://smartraveller.gov.au/Countries/europe/western/Pages/france.aspx,2017-08-23 05:06:15,True,caution,France overall
French Polynesia,http://smartraveller.gov.au/Countries/pacific/Pages/french_polynesia.aspx,2017-05-24 23:25:54,True,normal,French Polynesia overall
Gabon,http://smartraveller.gov.au/Countries/africa/central/Pages/gabon.aspx,2017-07-06 04:30:26,True,caution,Gabon overall
Georgia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/georgia.aspx,2017-07-10 05:58:48,True,normal,Georgia overall
Georgia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/georgia.aspx,2017-07-10 05:58:48,True,danger,South Ossetia and Abkhazia (including adjacent areas) and Pankisi Gorge north of Akhmeta
Germany,http://smartraveller.gov.au/Countries/europe/western/Pages/germany.aspx,2017-09-15 03:15:36,True,normal,Germany overall
Ghana,http://smartraveller.gov.au/Countries/africa/west/Pages/ghana.aspx,2017-03-22 03:38:51,True,normal,Ghana overall
Ghana,http://smartraveller.gov.au/Countries/africa/west/Pages/ghana.aspx,2017-03-22 03:38:51,True,caution,"Bawku, Tamale municipality, Yendi District and Bimbilla area in northern Ghana"
Gibraltar,http://smartraveller.gov.au/Countries/europe/southern/Pages/gibraltar.aspx,2015-08-04 01:13:00,null,null,null
Greece,http://smartraveller.gov.au/Countries/europe/southern/Pages/greece.aspx,2017-08-09 00:35:14,True,normal,Greece overall
Greenland,http://smartraveller.gov.au/Countries/europe/northern/Pages/greenland.aspx,2015-09-07 01:21:00,null,null,null
Grenada,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/grenada.aspx,2015-08-03 06:39:00,null,null,null
Guam,http://smartraveller.gov.au/Countries/pacific/Pages/guam.aspx,2017-03-08 02:42:00,True,normal,Guam overall
Guatemala,http://smartraveller.gov.au/Countries/americas/central/Pages/guatemala.aspx,2017-09-09 02:15:29,True,caution,Guatemala overall
Guinea,http://smartraveller.gov.au/Countries/africa/west/Pages/guinea.aspx,2017-07-11 00:28:38,True,caution,Guinea overall
Guinea,http://smartraveller.gov.au/Countries/africa/west/Pages/guinea.aspx,2017-07-11 00:28:38,True,warning,"Border areas with Cote d’Ivoire, Liberia and Sierra Leone"
Guinea-Bissau,http://smartraveller.gov.au/Countries/africa/west/Pages/guinea-bissau.aspx,No Time,null,null,null
Guyana,http://smartraveller.gov.au/Countries/americas/south/Pages/guyana.aspx,2017-07-21 01:51:48,True,caution,Guyana overall
Haiti,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/haiti.aspx,2017-09-10 06:59:58,True,caution,Haiti overall
Haiti,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/haiti.aspx,2017-09-10 06:59:58,True,warning,"Areas of Bel Air, Carrefour, Cité Soleil and Martissant in Port au Prince"
Honduras,http://smartraveller.gov.au/Countries/americas/central/Pages/honduras.aspx,2017-02-23 22:25:20,True,caution,Honduras overall
Hong Kong,http://smartraveller.gov.au/Countries/asia/north/Pages/hong_kong.aspx,2017-09-04 03:37:12,True,normal,Hong Kong overall
Hungary,http://smartraveller.gov.au/Countries/europe/eastern/Pages/hungary.aspx,2017-08-22 00:27:40,True,normal,Hungary overall
Iceland,http://smartraveller.gov.au/Countries/europe/northern/Pages/iceland.aspx,2017-08-28 23:20:38,True,normal,Iceland overall
India,http://smartraveller.gov.au/Countries/asia/south/Pages/india.aspx,2017-09-29 07:04:28,True,caution,India overall
India,http://smartraveller.gov.au/Countries/asia/south/Pages/india.aspx,2017-09-29 07:04:28,True,warning,"North-eastern states (Assam (except Guwahati), Nagaland and Manipur) and Chhattisgarh and the border areas of neighbouring states"
India,http://smartraveller.gov.au/Countries/asia/south/Pages/india.aspx,2017-09-29 07:04:28,True,warning,Cities of Jammu and Srinagar
India,http://smartraveller.gov.au/Countries/asia/south/Pages/india.aspx,2017-09-29 07:04:28,True,danger,"State of Jammu and Kashmir (except Ladakh region, Jammu and Srinagar) and India-Pakistan border (except Atari crossing)"
Indonesia,http://smartraveller.gov.au/Countries/asia/south-east/Pages/indonesia.aspx,2017-09-27 08:29:33,True,caution,Indonesia overall
Indonesia,http://smartraveller.gov.au/Countries/asia/south-east/Pages/indonesia.aspx,2017-09-27 08:29:33,True,warning,"Central Sulawesi, Papua and West Papua provinces "
Iran,http://smartraveller.gov.au/Countries/middle-east/Pages/iran.aspx,2017-06-07 23:30:12,True,caution,Iran overall
Iran,http://smartraveller.gov.au/Countries/middle-east/Pages/iran.aspx,2017-06-07 23:30:12,True,danger,"Border areas with Afghanistan, Pakistan and Iraq"
Iraq,http://smartraveller.gov.au/Countries/middle-east/Pages/iraq.aspx,2017-09-27 20:28:15,True,danger,Iraq overall
Ireland,http://smartraveller.gov.au/Countries/europe/northern/Pages/ireland.aspx,2017-03-24 02:39:39,True,normal,Ireland overall
"Israel, the Gaza Strip and the West Bank",http://smartraveller.gov.au/Countries/middle-east/Pages/israel_gaza_strip_and_west_bank.aspx,2017-08-28 02:31:29,True,caution,Overall
"Israel, the Gaza Strip and the West Bank",http://smartraveller.gov.au/Countries/middle-east/Pages/israel_gaza_strip_and_west_bank.aspx,2017-08-28 02:31:29,True,warning,"The West Bank, including Bethlehem, Jericho and Ramallah; all parts of Golan Heights east of Route 98"
"Israel, the Gaza Strip and the West Bank",http://smartraveller.gov.au/Countries/middle-east/Pages/israel_gaza_strip_and_west_bank.aspx,2017-08-28 02:31:29,True,warning,Areas within 5 kms of the border with the Gaza Strip
"Israel, the Gaza Strip and the West Bank",http://smartraveller.gov.au/Countries/middle-east/Pages/israel_gaza_strip_and_west_bank.aspx,2017-08-28 02:31:29,True,danger,Gaza Strip
Italy,http://smartraveller.gov.au/Countries/europe/southern/Pages/italy.aspx,2017-09-29 23:11:05,True,normal,Italy overall
Jamaica,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/jamaica.aspx,2017-09-28 23:25:12,True,caution,Jamaica overall
Japan,http://smartraveller.gov.au/Countries/asia/north/Pages/japan.aspx,2017-09-06 00:15:32,True,normal,Japan overall
Japan,http://smartraveller.gov.au/Countries/asia/north/Pages/japan.aspx,2017-09-06 00:15:32,True,caution,Areas 1 and 2 near the Fukushima Dai-ichi power plant
Japan,http://smartraveller.gov.au/Countries/asia/north/Pages/japan.aspx,2017-09-06 00:15:32,True,danger,Area 3 near the Fukushima Dai-ichi power plant 
Jordan,http://smartraveller.gov.au/Countries/middle-east/Pages/jordan.aspx,2017-08-08 13:49:13,True,caution,Jordan overall
Jordan,http://smartraveller.gov.au/Countries/middle-east/Pages/jordan.aspx,2017-08-08 13:49:13,True,warning,Areas near the borders with Syria and Iraq
Kazakhstan,http://smartraveller.gov.au/Countries/asia/central/Pages/kazakhstan.aspx,2017-08-29 06:09:41,True,normal,Kazakhstan overall
Kenya,http://smartraveller.gov.au/Countries/africa/east/Pages/kenya.aspx,2017-09-27 03:36:52,True,caution,Kenya overall
Kenya,http://smartraveller.gov.au/Countries/africa/east/Pages/kenya.aspx,2017-09-27 03:36:52,True,warning,Coastal areas from Lamu county to Mombasa and outskirts
Kenya,http://smartraveller.gov.au/Countries/africa/east/Pages/kenya.aspx,2017-09-27 03:36:52,True,warning,A2 highway from Isiolo to Moyale
Kenya,http://smartraveller.gov.au/Countries/africa/east/Pages/kenya.aspx,2017-09-27 03:36:52,True,danger,"Border regions with Somalia, South Sudan and Ethiopia"
Kiribati,http://smartraveller.gov.au/Countries/pacific/Pages/kiribati.aspx,2015-09-18 00:56:00,null,null,null
Kosovo,http://smartraveller.gov.au/Countries/europe/southern/Pages/kosovo.aspx,2017-09-13 05:40:22,True,caution,Kosovo overall
Kosovo,http://smartraveller.gov.au/Countries/europe/southern/Pages/kosovo.aspx,2017-09-13 05:40:22,True,warning,"Leposavic, Zubin Potok and Zvecan municipalities and North Mitrovica"
Kuwait,http://smartraveller.gov.au/Countries/middle-east/Pages/kuwait.aspx,2017-04-19 00:48:51,True,caution,Kuwait overall
Kyrgyz Republic,http://smartraveller.gov.au/Countries/asia/central/Pages/kyrgyz_republic.aspx,2017-07-03 04:19:29,True,caution,Kyrgyz Republic overall
Kyrgyz Republic,http://smartraveller.gov.au/Countries/asia/central/Pages/kyrgyz_republic.aspx,2017-07-03 04:19:29,True,warning,Kyrgyz-Uzbek and Kyrgyz-Tajik border areas and the Ferghana Valley
Laos,http://smartraveller.gov.au/Countries/asia/south-east/Pages/laos.aspx,2017-09-19 03:46:27,True,normal,Laos overall
Laos,http://smartraveller.gov.au/Countries/asia/south-east/Pages/laos.aspx,2017-09-19 03:46:27,True,warning,"Travel in Xaisomboun Province, east of Vang Vieng"
Latvia,http://smartraveller.gov.au/Countries/europe/northern/Pages/latvia.aspx,2017-05-29 23:02:12,True,normal,Latvia overall
Lebanon,http://smartraveller.gov.au/Countries/middle-east/Pages/lebanon.aspx,2017-09-14 12:19:15,True,warning,Lebanon overall
Lebanon,http://smartraveller.gov.au/Countries/middle-east/Pages/lebanon.aspx,2017-09-14 12:19:15,True,danger,"Southern suburbs (Dahiyeh) of Beirut, including west of the airport road. Areas within five kms of the border with Syria"
Lebanon,http://smartraveller.gov.au/Countries/middle-east/Pages/lebanon.aspx,2017-09-14 12:19:15,True,danger,"South of the Litani River, with the exception of the city of Tyre.  Palestinian refugee camps"
Lebanon,http://smartraveller.gov.au/Countries/middle-east/Pages/lebanon.aspx,2017-09-14 12:19:15,True,danger,Tripoli and northern Lebanon north of a line from Tripoli to Sir Ed Dinniyeh and Arsal. Northern Beka’a Valley
Lesotho,http://smartraveller.gov.au/Countries/africa/southern/Pages/lesotho.aspx,2016-10-25 00:22:52,True,caution,Lesotho overall
Liberia,http://smartraveller.gov.au/Countries/africa/west/Pages/liberia.aspx,2017-08-11 01:27:45,True,caution,Liberia overall
Liberia,http://smartraveller.gov.au/Countries/africa/west/Pages/liberia.aspx,2017-08-11 01:27:45,True,warning,Grand Gedeh and River Gee counties
Libya,http://smartraveller.gov.au/Countries/africa/north/Pages/libya.aspx,2017-01-23 00:11:17,True,danger,Libya overall
Liechtenstein,http://smartraveller.gov.au/Countries/europe/western/Pages/liechtenstein.aspx,2015-10-08 04:37:00,null,null,null
Lithuania,http://smartraveller.gov.au/Countries/europe/northern/Pages/lithuania.aspx,2017-08-30 21:50:18,True,normal,Lithuania overall
Luxembourg,http://smartraveller.gov.au/Countries/europe/western/Pages/luxembourg.aspx,2015-06-01 04:18:00,null,null,null
Macau,http://smartraveller.gov.au/Countries/asia/north/Pages/macau.aspx,2017-09-04 03:37:51,True,normal,Macau overall
Madagascar,http://smartraveller.gov.au/Countries/africa/east/Pages/madagascar.aspx,2017-09-28 23:48:10,True,caution,Madagascar overall
Madagascar,http://smartraveller.gov.au/Countries/africa/east/Pages/madagascar.aspx,2017-09-28 23:48:10,True,danger,Batterie Beach
Malawi,http://smartraveller.gov.au/Countries/africa/east/Pages/malawi.aspx,2017-05-02 04:27:30,True,normal,Malawi overall
Malaysia,http://smartraveller.gov.au/Countries/asia/south-east/Pages/malaysia.aspx,2017-07-15 00:01:35,True,normal,Malaysia overall
Malaysia,http://smartraveller.gov.au/Countries/asia/south-east/Pages/malaysia.aspx,2017-07-15 00:01:35,True,warning,Coastal region of eastern Sabah including nearby islands and dive sites
Maldives,http://smartraveller.gov.au/Countries/asia/south/Pages/maldives.aspx,2017-07-28 06:03:22,True,normal,Maldives overall
